name;num_op;num_thread;write_time;read_time;update_time
Sharded_HashMap;200000000;4;20.1700;9.8529;0.000012
Sharded_HashMap;200000000;8;12.5188;6.2045;0.000016
Sharded_HashMap;200000000;16;12.5686;2.5429;0.000029
Sharded_HashMap;200000000;32;17.5036;1.9551;0.000012
Sharded_HashMap;500000000;4;62.1435;43.7131;0.000013
Sharded_HashMap;500000000;8;53.9342;22.8244;0.000014
Sharded_HashMap;500000000;16;56.1282;13.9474;0.000014
Sharded_HashMap;500000000;32;79.2450;19.6530;0.000012
Sharded_HashMap;800000000;4;97.9514;56.4175;0.000016
Sharded_HashMap;800000000;8;63.7308;30.2377;0.000020
Sharded_HashMap;800000000;16;72.9355;22.3195;0.000014
Sharded_HashMap;800000000;32;108.9680;25.4145;0.000011
Sharded_HashMap;1000000000;4;152.8685;105.2041;0.000014
Sharded_HashMap;1000000000;8;120.1015;44.8738;0.000011
Sharded_HashMap;1000000000;16;113.7299;32.3041;0.000011
Sharded_HashMap;1000000000;32;211.8469;39.3913;0.000024
